Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
319,60,RL,90.0,9.200391041122515,Pave,NA,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987.0,Unf,0.0,360,1347.0,GasA,Ex,Y,SBrkr,1372.0,1274.0,0,2646.0,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3,656.0,TA,TA,Y,340.0,60.0,144,0,0,0,NA,NA,NA,0,4,2009,WD,Normal,12.468440756144114
320,80,RL,80.0,9.55506418479516,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,5,1980,1980,Gable,CompShg,Plywood,Plywood,BrkFace,225.0,TA,TA,CBlock,Gd,TA,Av,GLQ,1036.0,Unf,0.0,336,1372.0,GasA,TA,Y,SBrkr,1472.0,0.0,0,1472.0,1,0,2,0,3,1,TA,6,Typ,2,TA,Attchd,1980,Unf,2,588.0,TA,TA,Y,233.0,48.0,0,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,12.141539457711714
321,60,RL,111.0,9.696463383101802,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,370.0,TA,TA,PConc,Ex,Gd,Av,Unf,0.0,Unf,0.0,1249,1249.0,GasA,Ex,Y,SBrkr,1249.0,1347.0,0,2596.0,0,0,3,1,4,1,Gd,9,Typ,0,NA,Attchd,2006,RFn,3,840.0,TA,TA,Y,240.0,154.0,0,0,0,0,NA,NA,NA,0,9,2006,New,Partial,12.74444728628135
322,60,RL,99.0,9.400960731584833,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,388.0,Gd,TA,PConc,Ex,TA,Av,GLQ,970.0,Unf,0.0,166,1136.0,GasA,Ex,Y,SBrkr,1136.0,1332.0,0,2468.0,1,0,2,1,4,1,Gd,10,Typ,1,Gd,BuiltIn,2004,Fin,3,872.0,TA,TA,Y,184.0,154.0,0,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,12.777055016970678
323,60,RL,86.0,9.247732491193245,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1986,1987,Gable,CompShg,Plywood,Plywood,BrkFace,172.0,Gd,TA,CBlock,TA,TA,Gd,LwQ,28.0,ALQ,530.5071334881184,0,1502.0,GasA,Ex,Y,SBrkr,1553.0,1177.0,0,2730.0,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1987,Fin,2,576.0,TA,TA,Y,201.0,96.0,0,0,0,0,NA,MnPrv,NA,0,8,2007,WD,Normal,12.614868865984631
324,20,RM,49.0,8.669227347271736,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,256.0,Unf,0.0,906,1162.0,GasA,Ex,Y,SBrkr,1163.0,0.0,0,1163.0,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1955,Unf,1,220.0,Fa,TA,Y,142.0,98.0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,11.745433036677353
325,80,RL,96.0,9.330431852234003,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,PosN,Norm,1Fam,SLvl,7,7,1967,2007,Mansard,WdShake,Wd Sdng,Wd Sdng,BrkFace,300.0,Gd,Gd,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,710,710.0,GasA,Ex,Y,SBrkr,1898.0,1080.0,0,2829.1646571881433,0,0,2,1,5,1,Gd,11,Typ,1,Gd,BuiltIn,1961,Fin,2,564.0,TA,TA,Y,240.0,0.0,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,12.396697137361691
326,45,RM,50.0,8.517393171418904,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,116.0,Unf,0.0,604,720.0,GasA,Po,N,FuseF,803.0,0.0,0,803.0,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1941,Unf,2,360.0,TA,TA,Y,0.0,0.0,244,0,0,0,NA,NA,NA,0,12,2007,WD,Normal,11.373674891823535
327,120,RL,32.0,9.291643823040218,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1619.0,Unf,0.0,100,1719.0,GasA,Ex,Y,SBrkr,1719.0,0.0,0,1719.0,2,0,1,1,1,1,Gd,6,Typ,2,Gd,Attchd,1993,Fin,2,473.0,TA,TA,Y,122.0,30.0,0,0,0,0,NA,NA,NA,0,5,2008,Con,Normal,12.688501881189456
328,20,RL,80.0,9.358846580275406,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,TA,No,Rec,565.0,Unf,0.0,818,1383.0,GasA,TA,Y,SBrkr,1383.0,0.0,0,1383.0,0,0,1,1,3,1,TA,7,Typ,0,NA,Attchd,1960,RFn,1,292.0,TA,TA,Y,0.0,45.0,0,0,0,0,NA,NA,NA,0,4,2006,WD,Normal,11.886218559372042
329,75,RL,52.0,9.383368881858544,Pave,Pave,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,844,844.0,GasA,Gd,N,FuseA,1445.0,689.0,0,2134.0,0,0,2,0,5,1,Gd,10,Typ,0,NA,Detchd,1930,Unf,2,441.0,TA,TA,Y,0.0,60.0,268,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,12.276069679344003
330,70,RM,60.0,8.764521909518802,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,PConc,TA,TA,Mn,Unf,0.0,Unf,0.0,596,596.0,GasA,TA,N,SBrkr,596.0,596.0,0,1192.0,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,189.0,Fa,Fa,N,0.0,0.0,137,0,0,0,NA,GdWo,NA,0,7,2009,WD,Normal,11.264476926102367
331,90,RL,73.0,9.270964993792617,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,84.0,TA,TA,CBlock,TA,TA,No,GLQ,40.0,Rec,264.0,1424,1728.0,GasA,TA,Y,SBrkr,1728.0,0.0,0,1728.0,0,1,2,0,6,2,TA,10,Typ,0,NA,Detchd,2002,Unf,1,352.0,TA,TA,Y,155.0,0.0,0,0,0,0,NA,NA,NA,0,11,2007,WD,Normal,11.686887175419702
332,20,RL,70.0,9.009080614161977,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1992,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,846.0,Unf,0.0,210,1056.0,GasA,Fa,Y,SBrkr,1056.0,0.0,0,1056.0,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1958,RFn,1,308.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,11.842236406331555
333,20,RL,85.0,9.273878392780171,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,296.0,Gd,TA,PConc,Gd,TA,No,GLQ,1124.0,NA,479.0,1603,2373.5454254332067,GasA,Ex,Y,SBrkr,1629.0,0.0,0,1629.0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2003,RFn,3,880.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,12.556733038263905
334,120,RM,59.0,9.011767474596178,Pave,NA,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,146.0,Gd,TA,PConc,Gd,TA,Av,GLQ,720.0,Unf,0.0,638,1358.0,GasA,Ex,Y,SBrkr,1358.0,0.0,0,1358.0,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004,RFn,2,484.0,TA,TA,Y,192.0,30.0,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,12.240478903153711
335,60,RL,59.0,9.10974625674048,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,828.0,Unf,0.0,115,943.0,GasA,Gd,Y,SBrkr,943.0,695.0,0,1638.0,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1998,Fin,2,472.0,TA,TA,Y,100.0,38.0,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,12.165255859329688
336,190,RL,85.0,10.476470469936048,Grvl,NA,IR1,HLS,AllPub,Corner,Sev,Timber,Norm,Norm,2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,1249.0,BLQ,147.0,103,1499.0,GasA,Ex,Y,SBrkr,1619.0,167.0,0,1786.0,2,0,2,0,3,1,TA,7,Typ,2,Gd,Attchd,1965,Fin,2,529.0,TA,TA,Y,470.2609036031175,0.0,0,0,0,0,NA,NA,Shed,700,8,2008,WD,Normal,12.34126328584159
337,20,RL,86.0,9.558035114334135,Pave,NA,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1249.0,Unf,0.0,673,1922.0,GasA,Ex,Y,SBrkr,1922.0,0.0,0,1922.0,1,0,2,0,3,1,Gd,8,Typ,1,Gd,Attchd,2005,Fin,3,676.0,TA,TA,Y,178.0,51.0,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,12.841132451487937
338,20,RL,70.0,9.119977931895791,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726,1536.0,GasA,Ex,Y,SBrkr,1536.0,0.0,0,1536.0,1,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2002,RFn,2,532.0,TA,TA,Y,192.0,74.0,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,12.273735966890268
339,20,RL,91.0,9.557187177595935,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,CBlock,Gd,TA,Mn,ALQ,213.0,Unf,0.0,995,1208.0,GasA,Ex,Y,SBrkr,1621.0,0.0,0,1621.0,1,0,2,0,3,1,Gd,8,Typ,0,NA,Attchd,1984,RFn,2,440.0,TA,TA,Y,108.0,45.0,0,0,0,0,NA,NA,Shed,400,5,2006,WD,Normal,12.218500103788143
340,20,RL,66.0,9.425532393502772,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,TA,TA,CBlock,TA,Fa,No,Rec,585.0,Unf,0.0,630,1215.0,GasA,TA,Y,FuseA,1215.0,0.0,0,1215.0,0,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1958,Unf,1,297.0,TA,TA,Y,0.0,0.0,0,0,234,0,NA,NA,NA,0,6,2009,WD,Normal,11.951186847493476
341,60,RL,85.0,9.56043370454936,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,967,967.0,GasA,Ex,Y,SBrkr,993.0,915.0,0,1908.0,0,0,2,1,4,1,Gd,9,Typ,0,NA,Attchd,2002,Fin,2,431.0,TA,TA,Y,135.0,0.0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,12.220473454337986
342,20,RH,60.0,9.036106025364846,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0.0,721,721.0,GasA,Gd,Y,SBrkr,841.0,0.0,0,841.0,0,0,1,0,2,1,TA,4,Typ,0,NA,CarPort,1950,Unf,1,294.0,TA,TA,N,250.0,0.0,24,0,0,0,NA,NA,NA,0,9,2009,WD,Normal,11.314486721293981
343,90,RL,73.0,9.053101595549691,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,Stucco,BrkFace,340.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0,0.0,Wall,Fa,N,FuseA,1040.0,0.0,0,1040.0,0,0,2,0,2,2,TA,6,Typ,0,NA,Detchd,1949,Unf,2,400.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,11.37940550085183
344,120,RL,63.0,9.088172738001974,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,Ex,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1656,1684.0,GasA,Ex,Y,SBrkr,1684.0,0.0,0,1684.0,0,0,2,0,2,1,Ex,6,Typ,1,Ex,Attchd,2005,RFn,2,564.0,TA,TA,Y,470.2609036031175,72.0,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,12.491255347155265
345,160,RM,36.0,7.860570785538664,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,Gd,TA,No,Rec,129.0,BLQ,232.0,175,536.0,GasA,TA,Y,SBrkr,536.0,576.0,0,1112.0,0,0,1,1,3,1,TA,4,Typ,0,NA,Attchd,1976,Unf,1,336.0,TA,TA,Y,182.0,0.0,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,11.350418300109132
346,50,RL,65.0,8.769662508112274,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,972,972.0,GasA,Gd,Y,SBrkr,972.0,605.0,0,1577.0,0,0,1,0,3,1,Fa,6,Typ,1,Gd,Detchd,1939,Unf,1,312.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,10,2006,WD,Normal,11.850832386224807
347,20,RL,73.0,9.455088847042777,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1960,1998,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,BLQ,498.0,Unf,0.0,460,958.0,GasA,TA,Y,SBrkr,958.0,0.0,0,958.0,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1960,RFn,1,301.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,Gar2,15500,4,2007,WD,Normal,11.928347504569842
348,20,RL,73.0,9.77571099759397,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30.0,TA,TA,CBlock,TA,TA,No,BLQ,1270.0,Unf,0.0,208,1478.0,GasA,Ex,Y,FuseA,1478.0,0.0,0,1478.0,1,0,2,0,3,1,TA,6,Typ,2,Gd,Attchd,1960,Unf,2,498.0,TA,TA,Y,0.0,40.0,0,0,0,0,NA,NA,NA,0,12,2009,WD,Normal,11.967187086434018
349,160,RL,36.0,7.803435056952168,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,GLQ,573.0,Unf,0.0,191,764.0,GasA,Ex,Y,SBrkr,764.0,862.0,0,1626.0,1,0,2,1,2,1,Gd,6,Typ,0,NA,BuiltIn,2003,RFn,2,474.0,TA,TA,Y,0.0,27.0,0,0,0,0,NA,NA,NA,0,10,2008,WD,Normal,11.944714374881176
350,60,RL,56.0,9.92485757827232,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,645.3112433620423,Ex,TA,PConc,Ex,TA,No,GLQ,1410.0,Unf,0.0,438,1848.0,GasA,Ex,Y,SBrkr,1848.0,880.0,0,2728.0,1,0,2,1,4,1,Ex,10,Typ,2,Ex,Attchd,2006,Fin,3,706.0,TA,TA,Y,0.0,0.0,0,0,0,0,NA,NA,NA,0,4,2006,New,Partial,12.846684848231634
351,120,RL,68.0,8.964567702601611,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,362.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1869,1869.0,GasA,Ex,Y,SBrkr,1869.0,0.0,0,1869.0,0,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2007,RFn,2,617.0,TA,TA,Y,210.0,54.0,0,0,0,0,NA,NA,NA,0,12,2007,New,Partial,12.670001611311875
352,120,RL,80.0,8.570165076182343,Pave,NA,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,1082.0,Unf,0.0,371,1453.0,GasA,Gd,Y,SBrkr,1453.0,0.0,0,1453.0,1,0,1,1,2,1,Gd,6,Typ,1,TA,Attchd,1986,RFn,2,445.0,TA,TA,Y,0.0,80.0,0,0,184,0,NA,NA,NA,0,12,2006,WD,Abnorml,12.154784614286667
353,50,RL,60.0,9.114379980830272,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,Mn,LwQ,236.0,Rec,380.0,0,616.0,GasA,TA,N,SBrkr,616.0,495.0,0,1111.0,0,1,1,0,3,1,TA,5,Typ,0,NA,Detchd,1941,Unf,1,200.0,TA,Fa,Y,48.0,0.0,0,0,0,0,NA,NA,NA,0,3,2008,ConLw,Normal,11.461642696843066
354,30,RM,60.0,9.050288983827956,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624,624.0,GasA,Gd,Y,SBrkr,720.0,0.0,0,720.0,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,2005,Unf,2,484.0,TA,TA,Y,106.0,0.0,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,11.570259974415547
355,50,RL,60.0,9.036106025364846,Pave,NA,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,388.0,Unf,0.0,552,940.0,GasA,Ex,Y,SBrkr,1192.0,403.0,0,1595.0,0,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1940,Unf,1,240.0,TA,TA,Y,0.0,0.0,108,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,11.849404844423074
356,20,RL,105.0,9.328123407632566,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,334.0,BLQ,530.5071334881184,322,1200.0,GasA,Ex,Y,SBrkr,1200.0,0.0,0,1200.0,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1995,RFn,2,521.0,TA,TA,Y,0.0,26.0,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,12.086731521684555
357,20,RL,65.0,9.13227071655426,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,TA,TA,PConc,Gd,TA,No,GLQ,560.0,Unf,0.0,598,1158.0,GasA,Gd,Y,SBrkr,1167.0,0.0,0,1167.0,1,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1992,RFn,2,400.0,TA,TA,Y,120.0,26.0,0,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,12.06105265381003
358,120,RM,44.0,8.348774539791274,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,ALQ,874.0,Unf,0.0,268,1142.0,GasA,TA,Y,SBrkr,1142.0,0.0,0,1142.0,1,0,1,1,3,1,TA,6,Typ,1,Po,Attchd,1976,Fin,2,528.0,TA,TA,Y,470.2609036031175,90.0,0,0,0,0,NA,MnPrv,NA,0,8,2007,WD,Normal,11.80560254159177
359,80,RL,92.0,8.843759381917984,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,SLvl,5,4,1958,1958,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,120.0,TA,TA,CBlock,TA,TA,Av,BLQ,300.0,Rec,294.0,468,1062.0,GasA,Ex,Y,FuseF,1352.0,0.0,0,1352.0,0,1,1,0,3,1,Gd,6,Min2,0,NA,BuiltIn,1958,Unf,1,288.0,TA,TA,Y,168.0,0.0,294,0,0,0,NA,NA,NA,0,7,2006,WD,Abnorml,11.775297421715827
360,60,RL,78.0,9.39366142910322,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,530.0,Gd,TA,PConc,Gd,TA,Av,GLQ,956.0,Unf,0.0,130,1086.0,GasA,Ex,Y,SBrkr,1086.0,838.0,0,1924.0,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1998,RFn,2,592.0,TA,TA,Y,208.0,75.0,0,0,374,0,NA,NA,NA,0,6,2006,WD,Normal,12.54254845357358
361,85,RL,73.0,8.928110078202646,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,773.0,Unf,0.0,115,888.0,GasA,Ex,Y,SBrkr,912.0,0.0,0,912.0,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1978,RFn,2,470.0,TA,TA,Y,0.0,0.0,0,0,192,0,NA,MnPrv,NA,0,6,2007,WD,Normal,11.957617696467539
362,50,RL,52.0,9.120962560824966,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,399.0,Unf,0.0,484,883.0,GasA,Gd,Y,SBrkr,988.0,517.0,0,1505.0,1,0,1,0,3,1,TA,8,Typ,0,NA,Detchd,1940,Unf,1,240.0,TA,TA,N,0.0,0.0,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,11.884495917930655
363,85,RL,64.0,8.895903562215581,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0,0.0,GasA,Ex,Y,SBrkr,495.0,1427.0,0,1922.0,0,0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003,RFn,2,672.0,TA,TA,Y,0.0,0.0,177,0,0,0,NA,NA,NA,0,7,2009,ConLD,Normal,12.198549416880068
364,160,RM,21.0,7.427144133408616,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,510.0,TA,TA,CBlock,TA,TA,No,ALQ,162.0,Unf,0.0,321,483.0,GasA,Gd,Y,SBrkr,483.0,504.0,0,987.0,0,0,1,1,2,1,Gd,5,Typ,0,NA,Detchd,1972,Unf,1,264.0,TA,TA,Y,250.0,0.0,0,0,0,0,NA,NA,NA,0,5,2009,WD,Normal,11.678448377988165
